State,Postcode,Individuals,MedianIncome,MeanIncome
NSW,2754,3142.00,42370.00,51505.00
NSW,2756,19216.00,44635.00,52733.00
NSW,2757,583.00,40391.00,50634.00
NSW,2758,5300.00,43487.00,55937.00
NSW,2759,15911.00,46674.00,51455.00
NSW,2760,14967.00,43259.00,46840.00
NSW,2761,15501.00,45704.00,49253.00
NSW,2762,2163.00,45610.00,52231.00
NSW,2763,17256.00,48427.00,53549.00
NSW,2765,8019.00,42809.00,53220.00
NSW,2766,7694.00,44216.00,48301.00
NSW,2767,11093.00,45139.00,49641.00
NSW,2768,15229.00,51037.00,58986.00
NSW,2770,25006.00,40121.00,43351.00
NSW,2773,3775.00,48420.00,64083.00
NSW,2774,7715.00,47120.00,57390.00
NSW,2775,724.00,36840.00,47559.00
NSW,2776,2443.00,46404.00,55570.00
NSW,2777,10325.00,44961.00,55191.00
NSW,2778,1422.00,43917.00,53752.00
NSW,2779,2637.00,42814.00,50238.00
NSW,2780,6960.00,35682.00,49579.00
NSW,2782,3264.00,39154.00,50970.00
NSW,2783,1472.00,40430.00,48391.00
NSW,2784,691.00,43070.00,51664.00
NSW,2785,2563.00,36477.00,47445.00
NSW,2786,617.00,36516.00,49309.00
NSW,2787,2333.00,39711.00,45008.00
NSW,2790,7363.00,40538.00,54034.00
NSW,2793,466.00,30608.00,44712.00
NSW,2794,5424.00,34557.00,41154.00
NSW,2795,21717.00,41914.00,51036.00
NSW,2797,219.00,31370.00,38717.00
NSW,2798,1201.00,40916.00,55038.00
NSW,2799,2080.00,39713.00,47016.00
NSW,2800,23667.00,43047.00,53928.00
NSW,2804,1343.00,33414.00,37897.00
NSW,2805,211.00,36276.00,39282.00
NSW,2806,465.00,35856.00,42932.00
NSW,2810,1628.00,35118.00,43056.00
NSW,2820,3061.00,35189.00,42111.00
NSW,2821,2521.00,36468.00,43100.00
NSW,2823,751.00,35544.00,43331.00
NSW,2824,1303.00,39639.00,46378.00
NSW,2825,1334.00,40075.00,50133.00
NSW,2827,1824.00,34619.00,39295.00
NSW,2828,368.00,29549.00,40359.00
NSW,2829,1515.00,34233.00,36949.00
NSW,2830,22268.00,41831.00,49140.00
NSW,2831,1701.00,31802.00,36411.00
NSW,2832,1198.00,35665.00,33487.00
NSW,2833,260.00,38007.00,34766.00
NSW,2834,862.00,31946.00,36182.00
NSW,2835,2265.00,50644.00,66324.00
NSW,2836,313.00,37334.00,44939.00
NSW,2839,473.00,38511.00,39119.00
NSW,2840,1433.00,39787.00,42677.00
NSW,2842,282.00,22867.00,28317.00
NSW,2843,679.00,30084.00,35469.00
NSW,2844,661.00,30689.00,37487.00
NSW,2845,982.00,43656.00,55580.00
NSW,2847,1022.00,40557.00,55494.00
NSW,2848,538.00,34975.00,46268.00
NSW,2849,791.00,31691.00,45924.00
NSW,2850,9159.00,38567.00,53699.00
NSW,2852,1734.00,35158.00,58948.00
NSW,2864,504.00,37964.00,43944.00
NSW,2865,460.00,38571.00,42916.00
NSW,2866,1594.00,37039.00,44012.00
NSW,2867,338.00,31186.00,36558.00
NSW,2868,327.00,32017.00,43659.00
NSW,2869,676.00,30174.00,37010.00
NSW,2870,6229.00,39063.00,47930.00
NSW,2871,4683.00,37228.00,44450.00
NSW,2873,376.00,31078.00,38869.00
NSW,2874,245.00,33668.00,34048.00
NSW,2875,465.00,30308.00,39084.00
NSW,2876,229.00,25628.00,30513.00
NSW,2877,2074.00,35989.00,42639.00
NSW,2879,265.00,45579.00,53897.00
NSW,2880,8848.00,41580.00,50431.00
NSW,2898,265.00,35726.00,49370.00
NT ,800,5272.00,43291.00,61449.00
NT ,801,1454.00,55077.00,71347.00
NT ,804,329.00,63457.00,78459.00
NT ,810,20337.00,53134.00,62452.00
NT ,811,678.00,60446.00,71979.00
NT ,812,11690.00,54619.00,61832.00
NT ,814,318.00,56221.00,67055.00
NT ,820,13138.00,58176.00,73025.00
NT ,821,893.00,57134.00,66211.00
NT ,822,4753.00,32642.00,44691.00
NT ,828,625.00,60987.00,81971.00
NT ,830,11316.00,57540.00,63396.00
NT ,831,1658.00,59838.00,68191.00
NT ,832,7408.00,61337.00,67668.00
NT ,835,3370.00,58789.00,70602.00
NT ,836,4488.00,57100.00,66038.00
NT ,837,706.00,51361.00,59019.00
NT ,845,361.00,43666.00,49767.00
NT ,850,3453.00,50231.00,55941.00
NT ,851,1424.00,49730.00,56437.00
NT ,852,1617.00,30700.00,38428.00
NT ,853,384.00,66243.00,64734.00
NT ,854,427.00,37884.00,51123.00
NT ,860,819.00,52177.00,58561.00
NT ,861,682.00,40661.00,46314.00
NT ,862,211.00,37007.00,42135.00
NT ,870,13457.00,49232.00,56679.00
NT ,871,2441.00,49740.00,57028.00
NT ,872,3424.00,31303.00,38797.00
NT ,880,681.00,50431.00,66204.00
NT ,881,1875.00,55519.00,68368.00
NT ,885,616.00,72005.00,86222.00
NT ,886,869.00,53899.00,62867.00
QLD,4000,12131.00,35759.00,61731.00
QLD,4005,11592.00,57821.00,89085.00
QLD,4006,9055.00,49748.00,76666.00
QLD,4007,8068.00,55408.00,99788.00
QLD,4008,236.00,50032.00,68591.00
QLD,4010,1799.00,49604.00,63551.00
QLD,4011,10037.00,52545.00,85401.00
QLD,4012,12999.00,50848.00,65018.00
